Ac	263172	16645629	16645629	13290186	16645629	16645629	16645629	16645629
Ad	13763845	13763845	13763845	13763845	16645629	16645629	16645629	16645629
Ah	13763845	14030358	14903400	14300469	16645629	16645629	16243675	16645629
As	263172	1381653	7039851	5855577	16645629	16645629	16645629	16645629
2c	16645629	16645629	263172	16645629	263172	263172	16645629	16645629
2d	14165799	16109005	16645629	16510188	13763845	13763845	16645629	16645629
2h	14635088	14030358	16243675	16645629	13763845	13763845	16645629	16645629
2s	2434341	13290186	16645629	16510188	263172	263172	16645629	16645629
3c	263172	16645629	16645629	16645629	16645629	263172	16645629	16645629
3d	14030358	13763845	14030358	14501446	14300469	16243675	16645629	16645629
3h	13763845	14300469	16510188	16645629	16510188	15103863	16645629	16645629
3s	263172	263172	16645629	16645629	16645629	3552822	16645629	16645629
4c	263172	263172	263172	263172	263172	263172	16645629	263172
4d	13763845	13763845	13763845	13763845	13763845	13763845	16645629	13763845
4h	13763845	13763845	13763845	13763845	13763845	13763845	16645629	14030358
4s	263172	263172	263172	263172	263172	263172	16645629	1381653
5c	263172	8879482	16645629	16645629	16645629	263172	16645629	263172
5d	14300469	13763845	14030358	14702423	14702423	16645629	16645629	13763845
5h	13763845	14030358	16243675	16645629	16510188	15305354	16645629	14030358
5s	263172	1381653	14408667	16645629	15395562	8816262	16645629	1381653
6c	263172	10000536	14408667	15395562	16645629	1381653	16645629	263172
6d	14635088	13763845	13763845	13763845	13763845	15103863	16645629	13763845
6h	14030358	15305354	15907514	16109005	15907514	14903400	16645629	14030358
6s	1381653	8816262	12171705	13024972	12171705	5855577	16645629	1381653
7c	16645629	12171705	263172	263172	263172	4605510	16645629	263172
7d	15772844	16645629	16645629	16645629	16645629	16645629	16645629	13763845
7h	16510188	15641258	14501446	13763845	14165799	15103863	16645629	14030358
7s	1381653	1381653	7039851	12171705	16645629	16645629	16645629	1381653
8c	263172	263172	5855577	16645629	16645629	263172	16645629	263172
8d	15305354	13763845	13763845	13763845	13763845	15103863	16645629	13763845
8h	13763845	13763845	14903400	16243675	16109005	14635088	16645629	14030358
8s	263172	263172	7039851	14408667	13290186	5855577	16645629	1381653
9c	16645629	5328218	16645629	16645629	263172	14408667	16645629	263172
9d	13763845	13763845	13763845	14501446	16510188	16645629	16645629	13763845
9h	15641258	14635088	14300469	13763845	14702423	16645629	16645629	14030358
9s	11053224	5328218	3552822	263172	5855577	16645629	16645629	1381653
Tc	2434341	1381653	3552822	8816262	16645629	16645629	16645629	263172
Td	14165799	14165799	14165799	14165799	14030358	15305354	16645629	13763845
Th	14501446	14501446	14702423	15305354	16243675	16645629	16645629	14030358
Ts	4605510	4605510	5855577	8816262	14408667	16645629	16645629	1381653
Jc	14408667	14408667	14408667	14408667	5855577	14408667	16051719	14538529
Jd	15206408	15206408	15206408	15206408	15206408	15407129	16645629	15206408
Jh	15206408	15206408	15206408	15206408	15206408	15341063	15206408	15206408
Js	263172	263172	263172	263172	263172	1379346	16645629	263172
Qc	16645629	16645629	16645629	12171705	263172	263172	16645629	263172
Qd	16645629	16243675	15955574	15607077	16510188	15607077	16645629	16243675
Qh	16645629	16645629	16645629	15907514	15206408	15206408	15407129	15206408
Qs	16645629	16645629	16645629	11053224	263172	263172	16645629	263172
Kc	12171705	3552822	263172	1381653	8816262	11053224	16645629	263172
Kd	15772844	14030358	13763845	14030358	15305354	15506331	16645629	15206408
Kh	15772844	14030358	13763845	14030358	15305354	15506331	15206408	15206408
Ks	13024972	3552822	263172	1381653	8816262	10000536	16645629	263172
